"Name","Group A/acc@1","Group A/acc@5","Group A/acc@N","Group B/acc@1","Group B/acc@5","Group B/acc@N","State","Notes","User","Tags","Created","Runtime","Sweep","captioner.method","captioner.model","captioner.prompt","config","data.group1","data.group2","data.name","data.purity","data.root","data.subset","evaluator.method","evaluator.model","evaluator.n_hypotheses","inv_diff.clip_model","inv_diff.knowledge_bank_filepath","inv_diff.method","project","seed","wandb"
"PairedImageSets","1","1","1","1","1","1","finished","-","","","2025-12-28T02:31:10.000Z","16","","Captioner","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/149_hard.yaml","People practicing the Sun Salutation in yoga","People practicing the Tree Pose in yoga","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true"
"PairedImageSets","0.5","0.5","0.5","0.5","0.5","0.5","finished","-","","","2025-12-28T02:30:46.000Z","17","","Captioner","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/148_hard.yaml","Cakes decorated with marzipan","Cakes decorated with buttercream roses","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true"
"PairedImageSets","1","1","1","1","1","1","finished","-","","","2025-12-28T02:30:23.000Z","17","","Captioner","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/147_hard.yaml","Basketball players attempting free throws","Basketball players attempting slam dunks","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true"
"PairedImageSets","0.5","0.5","0.5","0.5","0.5","0.5","finished","-","","","2025-12-28T02:29:52.000Z","25","","Captioner","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/146_hard.yaml","Male professional swimmers in freestyle race","Male professional swimmers in butterfly race","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true"
"PairedImageSets","1","1","1","0","1","1","finished","-","","","2025-12-28T02:29:11.000Z","34","","Captioner","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/145_hard.yaml","Residential buildings in Art Deco style","Residential buildings in Brutalist style","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true"
"PairedImageSets","0","0.5","0.5","0.5","0.5","0.5","finished","-","","","2025-12-28T02:28:48.000Z","18","","Captioner","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/144_hard.yaml","Portraits painted in cubist style","Portraits painted in impressionist style","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true"
"PairedImageSets","0","1","1","1","1","1","finished","-","","","2025-12-28T02:28:25.000Z","16","","Captioner","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/143_hard.yaml","Books with hardcover binding","Books with leather-bound covers","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true"
"PairedImageSets","1","1","1","0.5","0.5","0.5","finished","-","","","2025-12-28T02:28:02.000Z","17","","Captioner","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/142_hard.yaml","Acoustic guitars being played","Classical guitars being played","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true"
"PairedImageSets","1","1","1","1","1","1","finished","-","","","2025-12-28T02:27:41.000Z","16","","Captioner","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/141_hard.yaml","Poems written in free verse","Poems written in sonnet form","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true"
"PairedImageSets","1","1","1","1","1","1","finished","-","","","2025-12-28T02:27:15.000Z","18","","Captioner","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/140_hard.yaml","Cities with Gothic architecture","Cities with Modernist architecture","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true"
