"Name","Group A/acc@1","Group A/acc@5","Group A/acc@N","Group B/acc@1","Group B/acc@5","Group B/acc@N","State","Notes","User","Tags","Created","Runtime","Sweep","captioner.method","captioner.model","captioner.prompt","config","data.group1","data.group2","data.name","data.purity","data.root","data.subset","evaluator.method","evaluator.model","evaluator.n_hypotheses","inv_diff.clip_model","inv_diff.knowledge_bank_filepath","inv_diff.method","project","seed","wandb"
"PairedImageSets","0.5","0.5","0.5","0","0.5","0.5","finished","-","","","2025-12-28T02:11:17.000Z","17","","Captioner","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/99_medium.yaml","Classic movies in black and white","Classic movies in Technicolor","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true"
"PairedImageSets","1","1","1","1","1","1","finished","-","","","2025-12-28T02:10:54.000Z","16","","Captioner","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/98_medium.yaml","Wild horses in American plains","Wild zebras in African savannahs","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true"
"PairedImageSets","1","1","1","0.5","1","1","finished","-","","","2025-12-28T02:10:27.000Z","18","","Captioner","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/97_medium.yaml","Dishes from Thai cuisine","Dishes from Vietnamese cuisine","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true"
"PairedImageSets","1","1","1","1","1","1","finished","-","","","2025-12-28T02:10:05.000Z","17","","Captioner","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/96_medium.yaml","Fruits arranged in a still life setting","Flowers arranged in a still life setting","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true"
"PairedImageSets","1","1","1","0.5","1","1","finished","-","","","2025-12-28T02:09:41.000Z","17","","Captioner","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/95_medium.yaml","Seascapes during a storm","Seascapes during a calm day","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true"
"PairedImageSets","0.5","0.5","0.5","0","0.5","0.5","finished","-","","","2025-12-28T02:09:18.000Z","18","","Captioner","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/94_medium.yaml","Cars from the 1960s","Cars from the 1980s","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true"
"PairedImageSets","1","1","1","0.5","1","1","finished","-","","","2025-12-28T02:08:55.000Z","18","","Captioner","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/93_medium.yaml","Rivers in tropical rainforests","Rivers in alpine meadows","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true"
"PairedImageSets","0","0.5","0.5","0.5","1","1","finished","-","","","2025-12-28T02:08:32.000Z","16","","Captioner","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/92_medium.yaml","Candies made from dark chocolate","Candies made from milk chocolate","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true"
"PairedImageSets","0.5","1","1","0.5","0.5","0.5","finished","-","","","2025-12-28T02:08:09.000Z","17","","Captioner","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/91_medium.yaml","Abstract oil paintings with warm colors","Abstract oil paintings with cool colors","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true"
"PairedImageSets","1","1","1","1","1","1","finished","-","","","2025-12-28T02:07:47.000Z","17","","Captioner","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/90_medium.yaml","People dancing tango","People dancing waltz","PairedImageSets","1","./data/datasets/pairedimagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","data/knowledge_banks/blip/agg_pairedimagesets_captions.json","InvDiff","PairedImageSets","0","true"
