"Name","acc@1","acc@5","acc@N","State","Notes","User","Tags","Created","Runtime","Sweep","anti_cca_enabled","anti_cca_with_universal_vocab_enabled","bottle_neck_exp","captioner.model","captioner.prompt","config","data.group1","data.group2","data.name","data.purity","data.root","data.subset","differ.clip_model","differ.knowledge_bank_filename","differ.method","differ.model","differ.prompt_cls_0","differ.prompt_cls_1","evaluator.method","evaluator.model","evaluator.n_hypotheses","hypo_file","knowledge_bank_from_blip_captions_file","prep_knowledge_bank","prep_knowledge_bank_from_blip_captions","project","proposer.method","proposer.model","proposer.num_hypotheses","proposer.num_rounds","proposer.num_samples","proposer.prompt","proposer.sampling_method","ranker.classify_threshold","ranker.clip_dataset","ranker.clip_model","ranker.max_num_samples","ranker.method","seed","wandb","top_1_difference","top_1_score","top_2_difference","top_2_score","top_3_difference","top_3_score","top_4_difference","top_4_score","top_5_difference","top_5_score"
"MimicCxrImageSets","0","0.5","0.5","finished","-","","","2026-01-24T20:06:45.000Z","86","","false","false","false","blip_mimic_cxr","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/29_hard.yaml","Localized lung opacity","Focal lucency or cavitary lung lesion","MimicCxrImageSets","1","./data","false","ViT-bigG-14","agg_knowledge_bank_from_blip_captions.json","AntiCCAUniversalVocab","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","knowledge_bank_from_gpt4.json","knowledge_bank_from_blip_captions.json","false","false","VisDiff-MimicCxrImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","Findings of pleural effusion","0.62625","Observation of vascular congestion","0.615","left retrocardiac opacity","0.6124999999999999","Concern for pneumonia","0.6112500000000001","cardiomediastinal silhouette is stable","0.59"
"MimicCxrImageSets","0.5","0.5","0.5","finished","-","","","2026-01-24T20:05:47.000Z","50","","false","false","false","blip_mimic_cxr","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/28_hard.yaml","Localized lung opacity","Pulmonary nodules or lung mass","MimicCxrImageSets","1","./data","false","ViT-bigG-14","agg_knowledge_bank_from_blip_captions.json","AntiCCAUniversalVocab","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","knowledge_bank_from_gpt4.json","knowledge_bank_from_blip_captions.json","false","false","VisDiff-MimicCxrImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","new right lower lobe infiltrate with air bronchograms","0.6862499999999999","Opacity in the lower lobes","0.68","cardiomegaly","0.675","Heart is mildly enlarged","0.6531250000000001","pulmonary vascular congestion","0.6462500000000001"
"MimicCxrImageSets","0.5","0.5","0.5","finished","-","","","2026-01-24T20:05:01.000Z","40","","false","false","false","blip_mimic_cxr","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/27_hard.yaml","Clear lungs with no acute abnormality","Costophrenic angle abnormality without large effusion","MimicCxrImageSets","1","./data","false","ViT-bigG-14","agg_knowledge_bank_from_blip_captions.json","AntiCCAUniversalVocab","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","knowledge_bank_from_gpt4.json","knowledge_bank_from_blip_captions.json","false","false","VisDiff-MimicCxrImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","Normal mediastinal contours","0.836875","Normal hilar contours","0.82","Normal hilar and mediastinal contours","0.8143750000000001","cardiomediastinal silhouette is unremarkable","0.801875","Normal heart size","0.76625"
"MimicCxrImageSets","0.5","0.5","0.5","finished","-","","","2026-01-24T20:03:27.000Z","86","","false","false","false","blip_mimic_cxr","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/26_hard.yaml","Upper-lobe-predominant lung abnormality","Apical pleural thickening or scarring","MimicCxrImageSets","1","./data","false","ViT-bigG-14","agg_knowledge_bank_from_blip_captions.json","AntiCCAUniversalVocab","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","knowledge_bank_from_gpt4.json","knowledge_bank_from_blip_captions.json","false","false","VisDiff-MimicCxrImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","Presence of right upper lobe opacity","0.70875","use of orogastric tube","0.666875","Diffuse bilateral airspace opacities","0.6643749999999999","increased opacity in lung","0.6406250000000001","opacity in the mid lung","0.570625"
"MimicCxrImageSets","0.5","0.5","0.5","finished","-","","","2026-01-24T20:01:51.000Z","87","","false","false","false","blip_mimic_cxr","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/25_hard.yaml","Interstitial lung disease with reticular pattern","Diffuse bilateral lung opacities","MimicCxrImageSets","1","./data","false","ViT-bigG-14","agg_knowledge_bank_from_blip_captions.json","AntiCCAUniversalVocab","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","knowledge_bank_from_gpt4.json","knowledge_bank_from_blip_captions.json","false","false","VisDiff-MimicCxrImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","area of opacity in the lung","0.845625","low lung volumes","0.8075","low lung volumes","0.8075","low lung volumes","0.8075","portable frontal radiograph of the chest","0.800625"
"MimicCxrImageSets","0.5","0.5","0.5","finished","-","","","2026-01-24T20:01:00.000Z","45","","false","false","false","blip_mimic_cxr","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/24_hard.yaml","Diffuse bilateral lung opacities","Lower-lobe-predominant lung abnormality","MimicCxrImageSets","1","./data","false","ViT-bigG-14","agg_knowledge_bank_from_blip_captions.json","AntiCCAUniversalVocab","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","knowledge_bank_from_gpt4.json","knowledge_bank_from_blip_captions.json","false","false","VisDiff-MimicCxrImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","pronounced pulmonary edema","0.835625","Increased lung opacity","0.7899999999999999","Increased lung opacity","0.7899999999999999","presence of endotracheal tube","0.7312500000000001","Endotracheal tube placement","0.7275"
"MimicCxrImageSets","0.5","1","1","finished","-","","","2026-01-24T19:59:59.000Z","53","","false","false","false","blip_mimic_cxr","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/23_hard.yaml","Reduced lung volume due to atelectasis","Elevation of hemidiaphragm","MimicCxrImageSets","1","./data","false","ViT-bigG-14","agg_knowledge_bank_from_blip_captions.json","AntiCCAUniversalVocab","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","knowledge_bank_from_gpt4.json","knowledge_bank_from_blip_captions.json","false","false","VisDiff-MimicCxrImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","linear opacities at lung bases","0.7243750000000001","increased left lung base opacity","0.5806250000000001","presence of atelectasis","0.5493750000000001","Subclavian catheter termination in mid SVC","0.541875","normal cardiomediastinal silhouette","0.5387500000000001"
"MimicCxrImageSets","0","0.5","0.5","finished","-","","","2026-01-24T19:59:11.000Z","42","","false","false","false","blip_mimic_cxr","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/22_hard.yaml","Localized lung opacity","Reduced lung volume due to atelectasis","MimicCxrImageSets","1","./data","false","ViT-bigG-14","agg_knowledge_bank_from_blip_captions.json","AntiCCAUniversalVocab","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","knowledge_bank_from_gpt4.json","knowledge_bank_from_blip_captions.json","false","false","VisDiff-MimicCxrImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","Presence of right-sided pleural effusion","0.6893750000000001","presence of right-sided pleural effusion","0.6893750000000001","persistent moderate right-sided pleural effusion","0.6775","Occurrences of pulmonary edema","0.6737500000000001","Findings of potential pneumonia","0.649375"
"MimicCxrImageSets","1","1","1","finished","-","","","2026-01-24T19:58:18.000Z","46","","false","false","false","blip_mimic_cxr","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/21_hard.yaml","Lower-lobe-predominant lung abnormality","Upper-lobe-predominant lung abnormality","MimicCxrImageSets","1","./data","false","ViT-bigG-14","agg_knowledge_bank_from_blip_captions.json","AntiCCAUniversalVocab","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","knowledge_bank_from_gpt4.json","knowledge_bank_from_blip_captions.json","false","false","VisDiff-MimicCxrImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","opacity at lung base representing atelectasis","0.870625","opacity in left lung base","0.83625","presence of atelectasis","0.8274999999999999","opacity in lung lower lobe","0.825","opacity in right lung base","0.7949999999999999"
"MimicCxrImageSets","0.5","0.5","0.5","finished","-","","","2026-01-24T19:57:33.000Z","38","","false","false","false","blip_mimic_cxr","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/20_hard.yaml","Lower-lobe-predominant lung abnormality","Localized lung opacity","MimicCxrImageSets","1","./data","false","ViT-bigG-14","agg_knowledge_bank_from_blip_captions.json","AntiCCAUniversalVocab","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","knowledge_bank_from_gpt4.json","knowledge_bank_from_blip_captions.json","false","false","VisDiff-MimicCxrImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","new opacity in the lung lobes","0.62375","Low lung volumes","0.6025","low lung volumes","0.6025","Low lung volumes","0.6025","PICC line removal","0.583125"
