"Name","acc@1","acc@5","acc@N","State","Notes","User","Tags","Created","Runtime","Sweep","anti_cca_enabled","anti_cca_with_universal_vocab_enabled","bottle_neck_exp","captioner.model","captioner.prompt","config","data.group1","data.group2","data.name","data.purity","data.root","data.subset","differ.clip_model","differ.knowledge_bank_filename","differ.method","differ.model","differ.prompt_cls_0","differ.prompt_cls_1","evaluator.method","evaluator.model","evaluator.n_hypotheses","hypo_file","knowledge_bank_from_blip_captions_file","prep_knowledge_bank","prep_knowledge_bank_from_blip_captions","project","proposer.method","proposer.model","proposer.num_hypotheses","proposer.num_rounds","proposer.num_samples","proposer.prompt","proposer.sampling_method","ranker.classify_threshold","ranker.clip_dataset","ranker.clip_model","ranker.max_num_samples","ranker.method","seed","wandb","top_1_difference","top_1_score","top_2_difference","top_2_score","top_3_difference","top_3_score","top_4_difference","top_4_score","top_5_difference","top_5_score"
"MimicCxrImageSets","1","1","1","finished","-","","","2026-01-27T00:17:22.000Z","94","","false","false","false","blip_mimic_cxr","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/19_medium.yaml","Clear lungs with no acute abnormality","Abnormal widening or contour of the mediastinum","MimicCxrImageSets","1","./data","false","ViT-bigG-14","agg_knowledge_bank_from_blip_captions.json","AntiCCAUniversalVocab","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","knowledge_bank_from_gpt4.json","knowledge_bank_from_blip_captions.json","false","false","VisDiff-MimicCxrImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","Normal mediastinal contours","0.880625","Normal heart size","0.8775000000000001","Normal heart size","0.8775000000000001","Normal heart size","0.8775000000000001","Unremarkable mediastinal contours","0.86"
"MimicCxrImageSets","0.5","0.5","0.5","finished","-","","","2026-01-27T00:12:34.000Z","219","","false","false","false","blip_mimic_cxr","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/18_medium.yaml","Clear lungs with no acute abnormality","Pulmonary nodules or lung mass","MimicCxrImageSets","1","./data","false","ViT-bigG-14","agg_knowledge_bank_from_blip_captions.json","AntiCCAUniversalVocab","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","knowledge_bank_from_gpt4.json","knowledge_bank_from_blip_captions.json","false","false","VisDiff-MimicCxrImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","Normal hilar contours","0.9425","Normal hilar and mediastinal contours","0.9375","Normal heart size","0.935","Normal mediastinal contours","0.9325","Normal heart size and mediastinal contours","0.926875"
"MimicCxrImageSets","0","0","0","finished","-","","","2026-01-27T00:10:44.000Z","99","","false","false","false","blip_mimic_cxr","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/17_medium.yaml","Costophrenic angle abnormality without large effusion","Pleural fluid at the lung bases","MimicCxrImageSets","1","./data","false","ViT-bigG-14","agg_knowledge_bank_from_blip_captions.json","AntiCCAUniversalVocab","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","knowledge_bank_from_gpt4.json","knowledge_bank_from_blip_captions.json","false","false","VisDiff-MimicCxrImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","Normal heart size in most images","0.905","No focal consolidation","0.901875","Unremarkable mediastinal contours","0.886875","Normal hilar and mediastinal contours","0.878125","The lungs are well aerated","0.8762499999999999"
"MimicCxrImageSets","0.5","1","1","finished","-","","","2026-01-27T00:05:43.000Z","235","","false","false","false","blip_mimic_cxr","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/16_medium.yaml","Elevation of hemidiaphragm","Clear lungs with no acute abnormality","MimicCxrImageSets","1","./data","false","ViT-bigG-14","agg_knowledge_bank_from_blip_captions.json","AntiCCAUniversalVocab","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","knowledge_bank_from_gpt4.json","knowledge_bank_from_blip_captions.json","false","false","VisDiff-MimicCxrImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","presence of atelectasis","0.835625","elevated right hemidiaphragm","0.8206250000000002","Elevated right hemidiaphragm","0.8206250000000002","picc line placements or removals","0.698125","lung volumes are low","0.655625"
"MimicCxrImageSets","0.5","0.5","0.5","finished","-","","","2026-01-27T00:02:21.000Z","192","","false","false","false","blip_mimic_cxr","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/15_medium.yaml","Clear lungs with no acute abnormality","Mediastinal or tracheal shift","MimicCxrImageSets","1","./data","false","ViT-bigG-14","agg_knowledge_bank_from_blip_captions.json","AntiCCAUniversalVocab","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","knowledge_bank_from_gpt4.json","knowledge_bank_from_blip_captions.json","false","false","VisDiff-MimicCxrImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","Normal mediastinal silhouette","0.955","normal hilar contours","0.954375","Unremarkable cardiomediastinal silhouette","0.944375","unremarkable mediastinal silhouette","0.943125","Normal heart size","0.939375"
"MimicCxrImageSets","0.5","0.5","0.5","finished","-","","","2026-01-26T23:49:54.000Z","355","","false","false","false","blip_mimic_cxr","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/14_medium.yaml","Reduced lung volume due to atelectasis","Clear lungs with no acute abnormality","MimicCxrImageSets","1","./data","false","ViT-bigG-14","agg_knowledge_bank_from_blip_captions.json","AntiCCAUniversalVocab","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","knowledge_bank_from_gpt4.json","knowledge_bank_from_blip_captions.json","false","false","VisDiff-MimicCxrImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","lung atelectasis or early signs of pneumonia","0.7074999999999999","Linear Opacities at Lung Bases","0.7018749999999999","new area of consolidation in the right lower lung","0.6818750000000001","areas of lung consolidation","0.645625","persistent left retrocardiac opacity and a left - sided pleural effusion","0.640625"
"MimicCxrImageSets","1","1","1","finished","-","","","2026-01-26T23:37:41.000Z","335","","false","false","false","blip_mimic_cxr","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/13_medium.yaml","Clear lungs with no acute abnormality","Upper-lobe-predominant lung abnormality","MimicCxrImageSets","1","./data","false","ViT-bigG-14","agg_knowledge_bank_from_blip_captions.json","AntiCCAUniversalVocab","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","knowledge_bank_from_gpt4.json","knowledge_bank_from_blip_captions.json","false","false","VisDiff-MimicCxrImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","Clear lungs with no focal consolidation, pleural effusion or pneumothorax","0.858125","unremarkable mediastinal structures","0.8568749999999999","normal heart size","0.855","normal hilar contours","0.835625","no focal consolidation","0.82875"
"MimicCxrImageSets","0.5","1","1","finished","-","","","2026-01-26T23:27:07.000Z","261","","false","false","false","blip_mimic_cxr","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/12_medium.yaml","Clear lungs with no acute abnormality","Lower-lobe-predominant lung abnormality","MimicCxrImageSets","1","./data","false","ViT-bigG-14","agg_knowledge_bank_from_blip_captions.json","AntiCCAUniversalVocab","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","knowledge_bank_from_gpt4.json","knowledge_bank_from_blip_captions.json","false","false","VisDiff-MimicCxrImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","normal cardiac and mediastinal contours","0.9325","normal hilar contours","0.92125","well expanded lungs","0.92125","clear lungs","0.91125","clear lungs","0.91125"
"MimicCxrImageSets","0.5","0.5","0.5","finished","-","","","2026-01-26T23:24:34.000Z","122","","false","false","false","blip_mimic_cxr","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/11_medium.yaml","Unilateral lung abnormality","Diffuse bilateral lung opacities","MimicCxrImageSets","1","./data","false","ViT-bigG-14","agg_knowledge_bank_from_blip_captions.json","AntiCCAUniversalVocab","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","knowledge_bank_from_gpt4.json","knowledge_bank_from_blip_captions.json","false","false","VisDiff-MimicCxrImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","status post recent left upper lobe resection","0.781875","large rounded opacity in the right lower lung","0.758125","Left retrocardiac opacity stable","0.7424999999999999","left retrocardiac opacity","0.7381249999999999","no pleural effusion or pneumothorax","0.7006249999999999"
"MimicCxrImageSets","1","1","1","finished","-","","","2026-01-26T23:23:09.000Z","69","","false","false","false","blip_mimic_cxr","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/10_medium.yaml","Localized lung opacity","Clear lungs with no acute abnormality","MimicCxrImageSets","1","./data","false","ViT-bigG-14","agg_knowledge_bank_from_blip_captions.json","AntiCCAUniversalVocab","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","knowledge_bank_from_gpt4.json","knowledge_bank_from_blip_captions.json","false","false","VisDiff-MimicCxrImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","increased opacity in lungs","0.7687499999999999","spotting of pulmonary edema","0.75875","Pulmonary edema occurrence","0.7324999999999999","existence of pleural effusion","0.698125","Presence of pleural effusion","0.6931249999999999"
