"Name","State","Notes","User","Tags","Created","Runtime","Sweep","config","data.group1","data.group2","data.name","data.purity","data.root","data.subset","evaluator.method","evaluator.model","evaluator.n_hypotheses","project","proposer.method","proposer.model","proposer.num_hypotheses","proposer.num_rounds","proposer.num_samples","proposer.prompt","proposer.sampling_method","seed","wandb","acc@1","acc@5","acc@N"
"PairedImageSets","finished","-","","","2026-03-28T18:13:56.000Z","19","","configs/sweep_visdiffbench_purity1.0_seed0/149_hard.yaml","People practicing the Sun Salutation in yoga","People practicing the Tree Pose in yoga","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","VLMProposer","gpt-4o","10","3","20","VLM_PROMPT","random","0","true","0.5","0.5","0.5"
"PairedImageSets","finished","-","","","2026-03-28T18:13:19.000Z","30","","configs/sweep_visdiffbench_purity1.0_seed0/148_hard.yaml","Cakes decorated with marzipan","Cakes decorated with buttercream roses","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","VLMProposer","gpt-4o","10","3","20","VLM_PROMPT","random","0","true","0","0","0"
"PairedImageSets","finished","-","","","2026-03-28T18:12:53.000Z","19","","configs/sweep_visdiffbench_purity1.0_seed0/147_hard.yaml","Basketball players attempting free throws","Basketball players attempting slam dunks","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","VLMProposer","gpt-4o","10","3","20","VLM_PROMPT","random","0","true","1","1","1"
"PairedImageSets","finished","-","","","2026-03-28T18:12:33.000Z","14","","configs/sweep_visdiffbench_purity1.0_seed0/146_hard.yaml","Male professional swimmers in freestyle race","Male professional swimmers in butterfly race","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","VLMProposer","gpt-4o","10","3","20","VLM_PROMPT","random","0","true","0.5","0.5","0.5"
"PairedImageSets","finished","-","","","2026-03-28T18:12:11.000Z","16","","configs/sweep_visdiffbench_purity1.0_seed0/145_hard.yaml","Residential buildings in Art Deco style","Residential buildings in Brutalist style","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","VLMProposer","gpt-4o","10","3","20","VLM_PROMPT","random","0","true","1","1","1"
"PairedImageSets","finished","-","","","2026-03-28T18:11:49.000Z","17","","configs/sweep_visdiffbench_purity1.0_seed0/144_hard.yaml","Portraits painted in cubist style","Portraits painted in impressionist style","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","VLMProposer","gpt-4o","10","3","20","VLM_PROMPT","random","0","true","0.5","1","1"
"PairedImageSets","finished","-","","","2026-03-28T18:11:23.000Z","20","","configs/sweep_visdiffbench_purity1.0_seed0/143_hard.yaml","Books with hardcover binding","Books with leather-bound covers","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","VLMProposer","gpt-4o","10","3","20","VLM_PROMPT","random","0","true","0.5","0.5","0.5"
"PairedImageSets","finished","-","","","2026-03-28T18:11:05.000Z","13","","configs/sweep_visdiffbench_purity1.0_seed0/142_hard.yaml","Acoustic guitars being played","Classical guitars being played","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","VLMProposer","gpt-4o","10","3","20","VLM_PROMPT","random","0","true","0.5","1","1"
"PairedImageSets","finished","-","","","2026-03-28T18:10:48.000Z","12","","configs/sweep_visdiffbench_purity1.0_seed0/141_hard.yaml","Poems written in free verse","Poems written in sonnet form","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","VLMProposer","gpt-4o","10","3","20","VLM_PROMPT","random","0","true","0","0","0"
"PairedImageSets","finished","-","","","2026-03-28T18:10:29.000Z","14","","configs/sweep_visdiffbench_purity1.0_seed0/140_hard.yaml","Cities with Gothic architecture","Cities with Modernist architecture","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","VLMProposer","gpt-4o","10","3","20","VLM_PROMPT","random","0","true","1","1","1"
"PairedImageSets","finished","-","","","2026-03-28T18:09:59.000Z","25","","configs/sweep_visdiffbench_purity1.0_seed0/139_hard.yaml","Women wearing matte lipstick","Women wearing glossy lipstick","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","VLMProposer","gpt-4o","10","3","20","VLM_PROMPT","random","0","true","0.5","0.5","0.5"
"PairedImageSets","finished","-","","","2026-03-28T18:09:38.000Z","16","","configs/sweep_visdiffbench_purity1.0_seed0/138_hard.yaml","Birds with iridescent plumage","Birds with matte plumage","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","VLMProposer","gpt-4o","10","3","20","VLM_PROMPT","random","0","true","1","1","1"
"PairedImageSets","finished","-","","","2026-03-28T18:09:18.000Z","15","","configs/sweep_visdiffbench_purity1.0_seed0/137_hard.yaml","Lace wedding dresses","Satin wedding dresses","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","VLMProposer","gpt-4o","10","3","20","VLM_PROMPT","random","0","true","1","1","1"
"PairedImageSets","finished","-","","","2026-03-28T18:08:54.000Z","19","","configs/sweep_visdiffbench_purity1.0_seed0/136_hard.yaml","Bonsai trees shaped in cascade style","Bonsai trees shaped in informal upright style","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","VLMProposer","gpt-4o","10","3","20","VLM_PROMPT","random","0","true","0.5","1","1"
"PairedImageSets","finished","-","","","2026-03-28T18:07:56.000Z","50","","configs/sweep_visdiffbench_purity1.0_seed0/135_hard.yaml","Historical films set in Medieval Europe","Historical films set in Ancient Rome","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","VLMProposer","gpt-4o","10","3","20","VLM_PROMPT","random","0","true","0","1","1"
"PairedImageSets","finished","-","","","2026-03-28T18:07:26.000Z","25","","configs/sweep_visdiffbench_purity1.0_seed0/134_hard.yaml","Classic rock bands performing","Alternative rock bands performing","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","VLMProposer","gpt-4o","10","3","20","VLM_PROMPT","random","0","true","0.5","0.5","0.5"
"PairedImageSets","finished","-","","","2026-03-28T18:06:49.000Z","32","","configs/sweep_visdiffbench_purity1.0_seed0/133_hard.yaml","Dishes from Northern Italian cuisine","Dishes from Southern Italian cuisine","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","VLMProposer","gpt-4o","10","3","20","VLM_PROMPT","random","0","true","0","0.5","0.5"
"PairedImageSets","finished","-","","","2026-03-28T18:06:30.000Z","14","","configs/sweep_visdiffbench_purity1.0_seed0/132_hard.yaml","Female ballet dancers in pointe shoes","Female ballet dancers in ballet slippers","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","VLMProposer","gpt-4o","10","3","20","VLM_PROMPT","random","0","true","0.5","1","1"
"PairedImageSets","finished","-","","","2026-03-28T18:06:00.000Z","23","","configs/sweep_visdiffbench_purity1.0_seed0/131_hard.yaml","People preparing macarons","People preparing meringues","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","VLMProposer","gpt-4o","10","3","20","VLM_PROMPT","random","0","true","0.5","0.5","0.5"
"PairedImageSets","finished","-","","","2026-03-28T18:05:32.000Z","20","","configs/sweep_visdiffbench_purity1.0_seed0/130_hard.yaml","Sculptures from the Renaissance era","Sculptures from the Hellenistic era","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","VLMProposer","gpt-4o","10","3","20","VLM_PROMPT","random","0","true","0.5","0.5","0.5"
"PairedImageSets","finished","-","","","2026-03-28T18:04:59.000Z","26","","configs/sweep_visdiffbench_purity1.0_seed0/129_hard.yaml","Men in British army uniforms from WWI","Men in British army uniforms from WWII","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","VLMProposer","gpt-4o","10","3","20","VLM_PROMPT","random","0","true","0","0.5","0.5"
"PairedImageSets","finished","-","","","2026-03-28T18:04:39.000Z","16","","configs/sweep_visdiffbench_purity1.0_seed0/128_hard.yaml","Orchestras playing Baroque music","Orchestras playing Classical music","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","VLMProposer","gpt-4o","10","3","20","VLM_PROMPT","random","0","true","0","0.5","0.5"
"PairedImageSets","finished","-","","","2026-03-28T18:04:02.000Z","32","","configs/sweep_visdiffbench_purity1.0_seed0/127_hard.yaml","Classic novels from the 19th century","Modern novels from the 21st century","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","VLMProposer","gpt-4o","10","3","20","VLM_PROMPT","random","0","true","1","1","1"
"PairedImageSets","finished","-","","","2026-03-28T18:03:40.000Z","16","","configs/sweep_visdiffbench_purity1.0_seed0/126_hard.yaml","Football players in defensive formation","Football players in offensive formation","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","VLMProposer","gpt-4o","10","3","20","VLM_PROMPT","random","0","true","0","0.5","0.5"
"PairedImageSets","finished","-","","","2026-03-28T18:03:20.000Z","15","","configs/sweep_visdiffbench_purity1.0_seed0/125_hard.yaml","Merlot wine in a glass","Cabernet Sauvignon wine in a glass","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","VLMProposer","gpt-4o","10","3","20","VLM_PROMPT","random","0","true","0","0.5","0.5"
"PairedImageSets","finished","-","","","2026-03-28T18:02:47.000Z","28","","configs/sweep_visdiffbench_purity1.0_seed0/124_hard.yaml","Alpine lakes in summer","Alpine lakes in early spring","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","VLMProposer","gpt-4o","10","3","20","VLM_PROMPT","random","0","true","0","0.5","0.5"
"PairedImageSets","finished","-","","","2026-03-28T18:02:27.000Z","15","","configs/sweep_visdiffbench_purity1.0_seed0/123_hard.yaml","People wearing traditional Korean hanboks","People wearing traditional Japanese kimonos","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","VLMProposer","gpt-4o","10","3","20","VLM_PROMPT","random","0","true","1","1","1"
"PairedImageSets","finished","-","","","2026-03-28T18:02:05.000Z","16","","configs/sweep_visdiffbench_purity1.0_seed0/122_hard.yaml","Gardens with Japanese cherry blossoms","Gardens with Japanese maples","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","VLMProposer","gpt-4o","10","3","20","VLM_PROMPT","random","0","true","1","1","1"
"PairedImageSets","finished","-","","","2026-03-28T18:01:43.000Z","16","","configs/sweep_visdiffbench_purity1.0_seed0/121_hard.yaml","Cyclists in a time-trial race","Cyclists in a mountain stage race","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","VLMProposer","gpt-4o","10","3","20","VLM_PROMPT","random","0","true","1","1","1"
"PairedImageSets","finished","-","","","2026-03-28T18:01:09.000Z","29","","configs/sweep_visdiffbench_purity1.0_seed0/120_hard.yaml","Hand-painted porcelain plates","Hand-painted ceramic plates","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","VLMProposer","gpt-4o","10","3","20","VLM_PROMPT","random","0","true","0.5","0.5","0.5"
"PairedImageSets","finished","-","","","2026-03-28T18:00:42.000Z","21","","configs/sweep_visdiffbench_purity1.0_seed0/119_hard.yaml","People playing chess outdoors","People playing checkers outdoors","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","VLMProposer","gpt-4o","10","3","20","VLM_PROMPT","random","0","true","0.5","1","1"
"PairedImageSets","finished","-","","","2026-03-28T18:00:17.000Z","20","","configs/sweep_visdiffbench_purity1.0_seed0/118_hard.yaml","Cupcakes topped with buttercream","Cupcakes topped with fondant","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","VLMProposer","gpt-4o","10","3","20","VLM_PROMPT","random","0","true","0.5","0.5","0.5"
"PairedImageSets","finished","-","","","2026-03-28T17:59:54.000Z","16","","configs/sweep_visdiffbench_purity1.0_seed0/117_hard.yaml","Men wearing Rolex watches","Men wearing Omega watches","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","VLMProposer","gpt-4o","10","3","20","VLM_PROMPT","random","0","true","0.5","0.5","0.5"
"PairedImageSets","finished","-","","","2026-03-28T17:59:30.000Z","18","","configs/sweep_visdiffbench_purity1.0_seed0/116_hard.yaml","Lush vineyards in spring","Lush vineyards in early autumn","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","VLMProposer","gpt-4o","10","3","20","VLM_PROMPT","random","0","true","0.5","0.5","0.5"
"PairedImageSets","finished","-","","","2026-03-28T17:59:08.000Z","17","","configs/sweep_visdiffbench_purity1.0_seed0/115_hard.yaml","Fresh sushi with salmon topping","Fresh sushi with tuna topping","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","VLMProposer","gpt-4o","10","3","20","VLM_PROMPT","random","0","true","0","0.5","0.5"
"PairedImageSets","finished","-","","","2026-03-28T17:58:40.000Z","23","","configs/sweep_visdiffbench_purity1.0_seed0/114_hard.yaml","People practicing yoga in a mountainous setting","People meditating in a mountainous setting","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","VLMProposer","gpt-4o","10","3","20","VLM_PROMPT","random","0","true","0","1","1"
"PairedImageSets","finished","-","","","2026-03-28T17:58:20.000Z","15","","configs/sweep_visdiffbench_purity1.0_seed0/113_hard.yaml","Sunrise over Santorini, Greece","Sunset over Santorini, Greece","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","VLMProposer","gpt-4o","10","3","20","VLM_PROMPT","random","0","true","0","0.5","0.5"
