"Name","State","Notes","User","Tags","Created","Runtime","Sweep","captioner.model","captioner.prompt","cc_diff.analysis","cc_diff.clip_model","cc_diff.inverse_cca.ktype","cc_diff.inverse_cca.type","cc_diff.method","config","data.group1","data.group2","data.name","data.purity","data.root","data.subset","evaluator.method","evaluator.model","evaluator.n_hypotheses","project","proposer.method","proposer.model","proposer.num_hypotheses","proposer.num_rounds","proposer.num_samples","proposer.prompt","proposer.sampling_method","seed","wandb","acc@1","acc@5","acc@N"
"PairedImageSets","finished","-","","","2026-03-30T05:44:43.000Z","99","","blip","Describe this image in detail.","partial","ViT-bigG-14","gaussian","cca","CCDiffRanker","configs/sweep_visdiffbench_purity1.0_seed0/149_hard.yaml","People practicing the Sun Salutation in yoga","People practicing the Tree Pose in yoga","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0","true","1","1","1"
"PairedImageSets","finished","-","","","2026-03-30T05:42:58.000Z","97","","blip","Describe this image in detail.","partial","ViT-bigG-14","gaussian","cca","CCDiffRanker","configs/sweep_visdiffbench_purity1.0_seed0/148_hard.yaml","Cakes decorated with marzipan","Cakes decorated with buttercream roses","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0","true","0","0","0"
"PairedImageSets","finished","-","","","2026-03-30T05:40:56.000Z","115","","blip","Describe this image in detail.","partial","ViT-bigG-14","gaussian","cca","CCDiffRanker","configs/sweep_visdiffbench_purity1.0_seed0/147_hard.yaml","Basketball players attempting free throws","Basketball players attempting slam dunks","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0","true","0.5","0.5","0.5"
"PairedImageSets","finished","-","","","2026-03-30T05:38:55.000Z","113","","blip","Describe this image in detail.","partial","ViT-bigG-14","gaussian","cca","CCDiffRanker","configs/sweep_visdiffbench_purity1.0_seed0/146_hard.yaml","Male professional swimmers in freestyle race","Male professional swimmers in butterfly race","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0","true","0","0.5","0.5"
"PairedImageSets","finished","-","","","2026-03-30T05:36:57.000Z","111","","blip","Describe this image in detail.","partial","ViT-bigG-14","gaussian","cca","CCDiffRanker","configs/sweep_visdiffbench_purity1.0_seed0/145_hard.yaml","Residential buildings in Art Deco style","Residential buildings in Brutalist style","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0","true","1","1","1"
"PairedImageSets","finished","-","","","2026-03-30T05:35:03.000Z","106","","blip","Describe this image in detail.","partial","ViT-bigG-14","gaussian","cca","CCDiffRanker","configs/sweep_visdiffbench_purity1.0_seed0/144_hard.yaml","Portraits painted in cubist style","Portraits painted in impressionist style","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0","true","0.5","1","1"
"PairedImageSets","finished","-","","","2026-03-30T05:33:18.000Z","96","","blip","Describe this image in detail.","partial","ViT-bigG-14","gaussian","cca","CCDiffRanker","configs/sweep_visdiffbench_purity1.0_seed0/143_hard.yaml","Books with hardcover binding","Books with leather-bound covers","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0","true","0.5","0.5","0.5"
"PairedImageSets","finished","-","","","2026-03-30T05:31:24.000Z","106","","blip","Describe this image in detail.","partial","ViT-bigG-14","gaussian","cca","CCDiffRanker","configs/sweep_visdiffbench_purity1.0_seed0/142_hard.yaml","Acoustic guitars being played","Classical guitars being played","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0","true","0.5","1","1"
"PairedImageSets","finished","-","","","2026-03-30T05:29:25.000Z","112","","blip","Describe this image in detail.","partial","ViT-bigG-14","gaussian","cca","CCDiffRanker","configs/sweep_visdiffbench_purity1.0_seed0/141_hard.yaml","Poems written in free verse","Poems written in sonnet form","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0","true","1","1","1"
"PairedImageSets","finished","-","","","2026-03-30T05:27:23.000Z","114","","blip","Describe this image in detail.","partial","ViT-bigG-14","gaussian","cca","CCDiffRanker","configs/sweep_visdiffbench_purity1.0_seed0/140_hard.yaml","Cities with Gothic architecture","Cities with Modernist architecture","PairedImageSets","1","./data","false","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0","true","0.5","1","1"
