"Name","acc@1","acc@5","acc@N","State","Notes","User","Tags","Created","Runtime","Sweep","anti_cca_enabled","anti_cca_with_universal_vocab_enabled","bottle_neck_exp","captioner.model","captioner.prompt","config","data.group1","data.group2","data.name","data.purity","data.root","data.subset","differ.clip_model","differ.knowledge_bank_filename","differ.method","differ.model","differ.prompt_cls_0","differ.prompt_cls_1","evaluator.method","evaluator.model","evaluator.n_hypotheses","hypo_file","knowledge_bank_from_blip_captions_file","prep_knowledge_bank","prep_knowledge_bank_from_blip_captions","project","proposer.method","proposer.model","proposer.num_hypotheses","proposer.num_rounds","proposer.num_samples","proposer.prompt","proposer.sampling_method","ranker.classify_threshold","ranker.clip_dataset","ranker.clip_model","ranker.max_num_samples","ranker.method","seed","wandb","top_1_difference","top_1_score","top_2_difference","top_2_score","top_3_difference","top_3_score","top_4_difference","top_4_score","top_5_difference","top_5_score"
"MimicCxrImageSets","1","1","1","finished","-","","","2026-01-26T21:14:14.000Z","97","","false","false","false","blip_mimic_cxr","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/9_easy.yaml","Pleural fluid at the lung bases","Air in the pleural space with absent lung markings","MimicCxrImageSets","1","./data","false","ViT-bigG-14","agg_knowledge_bank_from_blip_captions.json","AntiCCAUniversalVocab","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","knowledge_bank_from_gpt4.json","knowledge_bank_from_blip_captions.json","false","false","VisDiff-MimicCxrImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","pleural effusion of moderate to large size","0.880625","persistent right pleural effusion","0.825625","Appearance of pleural effusions","0.814375","unchanged pleural effusion","0.7975000000000001","right pleural effusion","0.7899999999999999"
"MimicCxrImageSets","0.5","0.5","0.5","finished","-","","","2026-01-26T21:11:44.000Z","125","","false","false","false","blip_mimic_cxr","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/8_easy.yaml","Localized lung opacity","Diffuse bilateral lung opacities","MimicCxrImageSets","1","./data","false","ViT-bigG-14","agg_knowledge_bank_from_blip_captions.json","AntiCCAUniversalVocab","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","knowledge_bank_from_gpt4.json","knowledge_bank_from_blip_captions.json","false","false","VisDiff-MimicCxrImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","Right lower lung opacity","0.7412500000000001","Lungs appearing clear without pneumonia","0.71375","unchanged cardiomediastinal silhouette","0.67875","x-rays with no lung consolidation","0.6774999999999999","absence of pleural effusion","0.669375"
"MimicCxrImageSets","0.5","0.5","0.5","finished","-","","","2026-01-26T21:08:59.000Z","149","","false","false","false","blip_mimic_cxr","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/7_easy.yaml","Chest wall or rib abnormality","Clear lungs with no acute abnormality","MimicCxrImageSets","1","./data","false","ViT-bigG-14","agg_knowledge_bank_from_blip_captions.json","AntiCCAUniversalVocab","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","knowledge_bank_from_gpt4.json","knowledge_bank_from_blip_captions.json","false","false","VisDiff-MimicCxrImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","left - sided chest tube in place","0.818125","Left-sided chest tube in place","0.818125","presence of chest tube","0.7343750000000001","Small left apical pneumothorax","0.6987500000000001","Right chest tube in unchanged position","0.640625"
"MimicCxrImageSets","0","1","1","finished","-","","","2026-01-26T21:02:39.000Z","359","","false","false","false","blip_mimic_cxr","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/6_easy.yaml","Clear lungs with no acute abnormality","Hyperinflated lungs with increased lung volume","MimicCxrImageSets","1","./data","false","ViT-bigG-14","agg_knowledge_bank_from_blip_captions.json","AntiCCAUniversalVocab","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","knowledge_bank_from_gpt4.json","knowledge_bank_from_blip_captions.json","false","false","VisDiff-MimicCxrImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","Low lung volumes","0.8412499999999999","unremarkable cardiomediastinal silhouette","0.7737499999999999","normal hilar contours","0.77125","normal mediastinal contours","0.759375","clear lungs","0.748125"
"MimicCxrImageSets","0.5","0.5","0.5","finished","-","","","2026-01-26T20:44:34.000Z","146","","false","false","false","blip_mimic_cxr","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/5_easy.yaml","Post-surgical changes of the chest","Clear lungs with no acute abnormality","MimicCxrImageSets","1","./data","false","ViT-bigG-14","agg_knowledge_bank_from_blip_captions.json","AntiCCAUniversalVocab","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","knowledge_bank_from_gpt4.json","knowledge_bank_from_blip_captions.json","false","false","VisDiff-MimicCxrImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","Aortic valve replacement","0.7618750000000001","Presence of pulmonary edema","0.7606250000000001","pulmonary edema","0.711875","Pacemaker in situ","0.694375","Presence of pleural effusion","0.675625"
"MimicCxrImageSets","0.5","0.5","0.5","finished","-","","","2026-01-26T20:42:06.000Z","128","","false","false","false","blip_mimic_cxr","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/4_easy.yaml","Clear lungs with no acute abnormality","Medical tubes or implanted devices present","MimicCxrImageSets","1","./data","false","ViT-bigG-14","agg_knowledge_bank_from_blip_captions.json","AntiCCAUniversalVocab","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","knowledge_bank_from_gpt4.json","knowledge_bank_from_blip_captions.json","false","false","VisDiff-MimicCxrImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","Normal mediastinal contours","0.955","Unremarkable hilar and mediastinal contours","0.953125","Normal hilar contours","0.9525","Unremarkable cardiomediastinal silhouette","0.941875","Normal heart size","0.93375"
"MimicCxrImageSets","0.5","1","1","finished","-","","","2026-01-26T20:39:41.000Z","128","","false","false","false","blip_mimic_cxr","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/3_easy.yaml","Enlarged cardiac silhouette and Large heart","Clear lungs with no acute abnormality","MimicCxrImageSets","1","./data","false","ViT-bigG-14","agg_knowledge_bank_from_blip_captions.json","AntiCCAUniversalVocab","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","knowledge_bank_from_gpt4.json","knowledge_bank_from_blip_captions.json","false","false","VisDiff-MimicCxrImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","Presence of mediastinal silhouette","0.83375","Recognition of pulmonary edema","0.8274999999999999","Widened mediastinal silhouette","0.79375","Portrayal of mediastinal silhouette","0.743125","Presence of cardiomegaly","0.735625"
"MimicCxrImageSets","0.5","1","1","finished","-","","","2026-01-26T20:37:29.000Z","117","","false","false","false","blip_mimic_cxr","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/2_easy.yaml","Clear lungs with no acute abnormality","Pleural fluid at the lung bases","MimicCxrImageSets","1","./data","false","ViT-bigG-14","agg_knowledge_bank_from_blip_captions.json","AntiCCAUniversalVocab","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","knowledge_bank_from_gpt4.json","knowledge_bank_from_blip_captions.json","false","false","VisDiff-MimicCxrImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","unremarkable mediastinal contours","0.955","Clear lungs with no focal consolidation","0.9525","Normal mediastinal contours","0.9525","normal mediastinal contours","0.9525","clear lungs","0.95125"
"MimicCxrImageSets","0.5","0.5","0.5","finished","-","","","2026-01-26T20:35:04.000Z","121","","false","false","false","blip_mimic_cxr","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/1_easy.yaml","Clear lungs with no acute abnormality","Air in the pleural space with absent lung markings","MimicCxrImageSets","1","./data","false","ViT-bigG-14","agg_knowledge_bank_from_blip_captions.json","AntiCCAUniversalVocab","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","knowledge_bank_from_gpt4.json","knowledge_bank_from_blip_captions.json","false","false","VisDiff-MimicCxrImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","Normal hilar and mediastinal contours","0.969375","Normal medistinal and hilar contours","0.955","Normal cardiac and mediastinal contours","0.95375","No focal consolidation","0.951875","No focal consolidation","0.951875"
"MimicCxrImageSets","1","1","1","finished","-","","","2026-01-26T20:31:51.000Z","171","","false","false","false","blip_mimic_cxr","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/0_easy.yaml","Clear lungs with no acute abnormality","Diffuse bilateral lung opacities","MimicCxrImageSets","1","./data","false","ViT-bigG-14","agg_knowledge_bank_from_blip_captions.json","AntiCCAUniversalVocab","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","knowledge_bank_from_gpt4.json","knowledge_bank_from_blip_captions.json","false","false","VisDiff-MimicCxrImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","Normal cardiomediastinal and hilar contours","0.98375","Normal mediastinal contours","0.9775","Normal hilar structures","0.976875","Unremarkable mediastinal contours","0.971875","Unremarkable hilar contours","0.965625"
