"Name","Group A/acc@1","Group B/acc@1","Group A/acc@5","Group B/acc@5","State","Notes","User","Tags","Created","Runtime","Sweep","captioner.agg_knowledge_bank_filepath","captioner.knowledge_bank_filepath","captioner.method","captioner.model","captioner.num_rounds","captioner.num_samples","captioner.prompt","config","data.group1","data.group2","data.name","data.purity","data.root","data.subset","evaluator.method","evaluator.model","evaluator.n_hypotheses","inv_diff.clip_model","inv_diff.inverse_cca.ktype","inv_diff.inverse_cca.type","inv_diff.knowledge_bank_filepath","inv_diff.method","project","seed","wandb","Group A/acc@N","Group B/acc@N"
"MimicCxrImageSets","0","1","0","1","finished","-","","","2026-01-26T19:42:08.000Z","24","","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","data/knowledge_banks/blip/mimic_cxr_imagesets_captions.json","Captioner","blip","3","20","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/9_easy.yaml","Air in the pleural space with absent lung markings","Pleural fluid at the lung bases","MimicCxrImageSets","1","./data/datasets/mimic_cxr_imagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","InvDiff","MimicCxrImageSets","0","true","0","1"
"MimicCxrImageSets","0.5","0","0.5","0.5","finished","-","","","2026-01-26T19:40:20.000Z","80","","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","data/knowledge_banks/blip/mimic_cxr_imagesets_captions.json","Captioner","blip","3","20","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/8_easy.yaml","Diffuse bilateral lung opacities","Localized lung opacity","MimicCxrImageSets","1","./data/datasets/mimic_cxr_imagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","InvDiff","MimicCxrImageSets","0","true","0.5","0.5"
"MimicCxrImageSets","1","0","1","0.5","finished","-","","","2026-01-26T19:38:22.000Z","83","","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","data/knowledge_banks/blip/mimic_cxr_imagesets_captions.json","Captioner","blip","3","20","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/7_easy.yaml","Clear lungs with no acute abnormality","Chest wall or rib abnormality","MimicCxrImageSets","1","./data/datasets/mimic_cxr_imagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","InvDiff","MimicCxrImageSets","0","true","1","0.5"
"MimicCxrImageSets","1","1","1","1","finished","-","","","2026-01-26T19:36:23.000Z","82","","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","data/knowledge_banks/blip/mimic_cxr_imagesets_captions.json","Captioner","blip","3","20","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/6_easy.yaml","Hyperinflated lungs with increased lung volume","Clear lungs with no acute abnormality","MimicCxrImageSets","1","./data/datasets/mimic_cxr_imagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","InvDiff","MimicCxrImageSets","0","true","1","1"
"MimicCxrImageSets","1","1","1","1","finished","-","","","2026-01-26T19:34:32.000Z","80","","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","data/knowledge_banks/blip/mimic_cxr_imagesets_captions.json","Captioner","blip","3","20","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/5_easy.yaml","Clear lungs with no acute abnormality","Post-surgical changes of the chest","MimicCxrImageSets","1","./data/datasets/mimic_cxr_imagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","InvDiff","MimicCxrImageSets","0","true","1","1"
"MimicCxrImageSets","1","1","1","1","finished","-","","","2026-01-26T19:32:31.000Z","102","","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","data/knowledge_banks/blip/mimic_cxr_imagesets_captions.json","Captioner","blip","3","20","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/4_easy.yaml","Medical tubes or implanted devices present","Clear lungs with no acute abnormality","MimicCxrImageSets","1","./data/datasets/mimic_cxr_imagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","InvDiff","MimicCxrImageSets","0","true","1","1"
"MimicCxrImageSets","1","0.5","1","0.5","finished","-","","","2026-01-26T19:30:28.000Z","95","","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","data/knowledge_banks/blip/mimic_cxr_imagesets_captions.json","Captioner","blip","3","20","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/3_easy.yaml","Clear lungs with no acute abnormality","Enlarged cardiac silhouette and Large heart","MimicCxrImageSets","1","./data/datasets/mimic_cxr_imagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","InvDiff","MimicCxrImageSets","0","true","1","0.5"
"MimicCxrImageSets","1","0.5","1","0.5","finished","-","","","2026-01-26T19:28:27.000Z","96","","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","data/knowledge_banks/blip/mimic_cxr_imagesets_captions.json","Captioner","blip","3","20","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/2_easy.yaml","Pleural fluid at the lung bases","Clear lungs with no acute abnormality","MimicCxrImageSets","1","./data/datasets/mimic_cxr_imagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","InvDiff","MimicCxrImageSets","0","true","1","0.5"
"MimicCxrImageSets","0","1","0","1","finished","-","","","2026-01-26T19:26:03.000Z","106","","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","data/knowledge_banks/blip/mimic_cxr_imagesets_captions.json","Captioner","blip","3","20","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/1_easy.yaml","Air in the pleural space with absent lung markings","Clear lungs with no acute abnormality","MimicCxrImageSets","1","./data/datasets/mimic_cxr_imagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","InvDiff","MimicCxrImageSets","0","true","0","1"
"MimicCxrImageSets","0.5","1","0.5","1","finished","-","","","2026-01-26T19:21:18.000Z","185","","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","data/knowledge_banks/blip/mimic_cxr_imagesets_captions.json","Captioner","blip","3","20","Describe the chest X-ray image in detail.","configs/sweep_mimic_cxr_purity1.0_seed0/0_easy.yaml","Diffuse bilateral lung opacities","Clear lungs with no acute abnormality","MimicCxrImageSets","1","./data/datasets/mimic_cxr_imagesets","false","Evaluator","gpt-4","5","ViT-bigG-14","gaussian","cca","data/knowledge_banks/blip/agg_mimic_cxr_imagesets_captions.json","InvDiff","MimicCxrImageSets","0","true","0.5","1"
